id;name_rus;name_eng;name_constitution;name_fns;name_fias;name_rst_data;name_emiss;name_datawrapper;name_datawrapper_square;name_datawrapper_short;name_tableau;alternative_names;okato;oktmo;fns_code;iso_code;level;parent_id;parent_name
1;Российская Федерация;Russia;Российская Федерация;Российская Федерация;Российская Федерация;Российская Федерация;Российская Федерация;Россия;None;None;None;;00000000;00000000;None;RU;страна;None;None
2;Центральный федеральный округ;Central Federal District;None;None;None;Центральный федеральный округ;Центральный федеральный округ;None;None;None;None;;00000000;00000000;None;None;федеральный округ;1;Российская Федерация
140;Белгородская область;Belgorod;Белгородская область;Белгородская область;Белгородская область;Белгородская область;Белгородская область;Белгородская область;Белгородская область;БЕЛ;Belgorod;;00000000;00000000;31;RU-BEL;регион;2;Центральный федеральный округ
150;Брянская область;Bryansk;Брянская область;Брянская область;Брянская область;Брянская область;Брянская область;Брянская область;Брянская область;БРЯ;Bryansk;;15000000;15000000;32;RU-BRY;регион;2;Центральный федеральный округ
170;Владимирская область;Vladimir;Владимирская область;Владимирская область;Владимирская область;Владимирская область;Владимирская область;Владимирская область;Владимирская область;ВЛА;Vladimir;;17000000;17000000;33;RU-VLA;регион;2;Центральный федеральный округ
200;Воронежская область;Voronezh;Воронежская область;Воронежская область;Воронежская область;Воронежская область;Воронежская область;Воронежская область;Воронежская область;ВОР;Voronezh;;20000000;20000000;36;RU-VOR;регион;2;Центральный федеральный округ
240;Ивановская область;Ivanovo;Ивановская область;Ивановская область;Ивановская область;Ивановская область;Ивановская область;Ивановская область;Ивановская область;ИВА;Ivanovo;;24000000;24000000;37;RU-IVA;регион;2;Центральный федеральный округ
290;Калужская область;Kaluga;Калужская область;Калужская область;Калужская область;Калужская область;Калужская область;Калужская область;Калужская область;КАЛУ;Kaluga;;29000000;29000000;40;RU-KLU;регион;2;Центральный федеральный округ
340;Костромская область;Kostroma;Костромская область;Костромская область;Костромская область;Костромская область;Костромская область;Костромская область;Костромская область;КОС;Kostroma;;34000000;34000000;44;RU-KOS;регион;2;Центральный федеральный округ
380;Курская область;Kursk;Курская область;Курская область;Курская область;Курская область;Курская область;Курская область;Курская область;КУРСК;Kursk;;38000000;38000000;46;RU-KRS;регион;2;Центральный федеральный округ
420;Липецкая область;Lipetsk;Липецкая область;Липецкая область;Липецкая область;Липецкая область;Липецкая область;Липецкая область;Липецкая область;ЛИП;Lipetsk;;42000000;42000000;48;RU-LIP;регион;2;Центральный федеральный округ
460;Московская область;Moskovsskaya;Московская область;Московская область;Московская область;Московская область;Московская область;Московская область;Московская область;МОС;Moskovsskaya;;46000000;46000000;50;RU-MOS;регион;2;Центральный федеральный округ
540;Орловская область;Orlovskaya;Орловская область;Орловская область;Орловская область;Орловская область;Орловская область;Орловская область;Орловская область;ОРЁЛ;Orlovskaya;;54000000;54000000;57;RU-ORL;регион;2;Центральный федеральный округ
610;Рязанская область;Ryazan;Рязанская область;Рязанская область;Рязанская область;Рязанская область;Рязанская область;Рязанская область;Рязанская область;РЯЗ;Ryazan;;61000000;61000000;62;RU-RYA;регион;2;Центральный федеральный округ
660;Смоленская область;Smolensk;Смоленская область;Смоленская область;Смоленская область;Смоленская область;Смоленская область;Смоленская область;Смоленская область;СМОЛ;Smolensk;;66000000;66000000;67;RU-SMO;регион;2;Центральный федеральный округ
680;Тамбовская область;Tambov;Тамбовская область;Тамбовская область;Тамбовская область;Тамбовская область;Тамбовская область;Тамбовская область;Тамбовская область;ТАМ;Tambov;;68000000;68000000;68;RU-TAM;регион;2;Центральный федеральный округ
280;Тверская область;Tver;Тверская область;Тверская область;Тверская область;Тверская область;Тверская область;Тверская область;Тверская область;ТВЕР;Tver;;28000000;28000000;69;RU-TVE;регион;2;Центральный федеральный округ
700;Тульская область;Tula;Тульская область;Тульская область;Тульская область;Тульская область;Тульская область;Тульская область;Тульская область;ТУЛ;Tula;;70000000;70000000;71;RU-TUL;регион;2;Центральный федеральный округ
780;Ярославская область;Yaroslavl;Ярославская область;Ярославская область;Ярославская область;Ярославская область;Ярославская область;Ярославская область;Ярославская область;ЯРО;Yaroslavl;;78000000;78000000;76;RU-YAR;регион;2;Центральный федеральный округ
450;Москва;Moskva (city);Москва;город федерального значения Москва;Г. Москва;Город Москва столица Российской Федерации город федерального значения;Город Москва столица Российской Федерации город федерального значения;Москва;Москва;МСК;Moskva (city);Москва, город Москва;45000000;45000000;77;RU-MOW;регион;2;Центральный федеральный округ
3;Северо-Западный федеральный округ;Northwestern Federal District;None;None;None;Северо-Западный федеральный округ;Северо-Западный федеральный округ;None;None;None;None;Северо-Западный;00000000;00000000;None;None;федеральный округ;1;Российская Федерация
860;Республика Карелия;Karelia;Республика Карелия;Республика Карелия;Республика Карелия;Республика Карелия;Республика Карелия;Республика Карелия;Карелия;КАР;Karelia;;86000000;86000000;10;RU-KR;регион;3;Северо-Западный федеральный округ
870;Республика Коми;Komi;Республика Коми;Республика Коми;Республика Коми;Республика Коми;Республика Коми;Республика Коми;Коми;КОМИ;Komi;;87000000;87000000;11;RU-KO;регион;3;Северо-Западный федеральный округ
110;Архангельская область;Arkhangel'sk;Архангельская область;Архангельская область;Архангельская область;Архангельская область;Архангельская область;Архангельская область;Архангельская область;АРХ;Arkhangel'sk;;11000000;11000000;29;RU-ARK;регион;3;Северо-Западный федеральный округ
111;Ненецкий автономный округ;Nenets;Ненецкий автономный округ;Ненецкий автономный округ;Ненецкий автономный округ;Ненецкий автономный округ (Архангельская область);Ненецкий автономный округ (Архангельская область);Ненецкий автономный округ;Ненецкий АО;НЕН;Nenets;;11100000;11800000;83;RU-NEN;регион;110;Северо-Западный федеральный округ
112;Архангельская область без автономного округа;Arkhangelskaya without Nenets Autonomous Okrug;None;Архангельская область без автономного округа;Архангельская область без автономного округа;Архангельская область без автономного округа;Архангельская область без автономного округа;None;None;АРХ;None;;11200000;11700000;None;None;регион;110;Архангельская область
190;Вологодская область;Vologda;Вологодская область;Вологодская область;Вологодская область;Вологодская область;Вологодская область;Вологодская область;Вологодская область;ВОЛО;Vologda;;19000000;19000000;35;RU-VLG;регион;3;Северо-Западный федеральный округ
270;Калининградская область;Kaliningrad;Калининградская область;Калининградская область;Калининградская область;Калининградская область;Калининградская область;Калининградская область;Калининградская область;КАЛИ;Kaliningrad;Калинингpадская область;27000000;27000000;39;RU-KGD;регион;3;Северо-Западный федеральный округ
410;Ленинградская область;Leningrad Oblast;Ленинградская область;Ленинградская область;Ленинградская область;Ленинградская область;Ленинградская область;Ленинградская область;Ленинградская область;ЛЕН;Leningrad Oblast;;41000000;41000000;47;RU-LEN;регион;3;Северо-Западный федеральный округ
470;Мурманская область;Murmansk;Мурманская область;Мурманская область;Мурманская область;Мурманская область;Мурманская область;Мурманская область;Мурманская область;МУР;Murmansk;;47000000;47000000;51;RU-MUR;регион;3;Северо-Западный федеральный округ
490;Новгородская область;Novgorod;Новгородская область;Новгородская область;Новгородская область;Новгородская область;Новгородская область;Новгородская область;Новгородская область;НОВГ;Novgorod;;49000000;49000000;53;RU-NGR;регион;3;Северо-Западный федеральный округ
580;Псковская область;Pskov;Псковская область;Псковская область;Псковская область;Псковская область;Псковская область;Псковская область;Псковская область;ПСК;Pskov;;58000000;58000000;60;RU-PSK;регион;3;Северо-Западный федеральный округ
